,full_text,Label
65,@Bambangmulyonoo @PDI_Perjuangan Pelecehan apanya mmmbbbaaaang🤣🤣 klo gak melek politik  mingkem aja mmbbaaang biar tdk asal ngepost kayak kau!!!!🤣🤣,1
66,"@RaniKancana @StefanAntonio__ @dedimahardi @prabowo @jokowi @ganjarpranowo @mohmahfudmd @PDI_Perjuangan @YRadianto Tenang bu, saya sdh ada disini, semua sdh saya bohongi!",1
67,@harisnurtono Kan bapak nya udah nggak di anggap di @PDI_Perjuangan,1
68,"@OmpungGuru @jokowi @PDI_Perjuangan Untuk mengembalikan kepercayaan sangatlah sulit, ini malah ngeremehin",1
69,@sonnyprakosa7 @jo_adhi @mpok_intan @hurryKoRn @jokowi @PDI_Perjuangan @66Hasto @puanmaharani_ri Loh waktu Presiden nya gusdur partai yg menang siapa.. Googling dong jgn asal bacot,1
70,"""#SidangAhok smg sipenista agama n ateknya matinya tdk wjar n jasadnya tdk dtrma tnh n dia tdk prnh mrs kn sorga,aamiin semoga tuhan setuju""",1
71,"@BasherRL heh kontol, jan sok pemes lu di rp, muka kek memek, org tua lu kek monyet, agama lu aje agama kontol 38",1
72,@ongbaotek eh memek diem lo pala lo kaya kontol! Muka lo kaya memek! Dasar gigolo! Punya penyakit kelamin ya lo? Wakkakaka,1
73,@zuhairimisrawi pngusiran syiah ko jadi mirip sama di usir nya nabi sama kafir quraisy ya? Masa mau si dsamain sama kafir quraisy,2
74,"@jemmydarusman mami langsung berbalik badan. Mami cium km, mami kenyot lidah km. Sampai km kewalahan. Km mulai remas tetek mami",3
75,"@BasherRL heh kontol, jan sok pemes lu di rp, muka kek memek, org tua lu kek monyet, agama lu aje agama kontol 38",1
76,,
77,Terus kalo masyarakat papua barat ingin merdeka kenapa ?  Mereka perlu di tangkap gituh ? Merek perlu di eksekusi ? kan engga goblok! Ya bae weh papua barat dek merdeka ge atuh asup negara Indo ge malah nambah penderitaan keur masyarakat na sorangan,1
78,"Allahuakbar, demi Allah demi Rasulullah dan para sahabat dan para tabiin. Harus ditegakkan khilafah yang akan menjamin kehidupan umat islam.",0
79,\m/RT @TeukuSyiva: Wkwkwk RT @adiprima: Anjeng kau babiRT @memetetek: @adiprima mau gue sepong ga kontol lo ngentot yuk gua lg horny neh :D,3
80,@AGFathur ahaha emang thue gek perang dingin makanya minyak naik. penguasa kafir cuman pengen kuasain minyak -_- ayo gawe bom dab,1
81,Semoga dengan penambahan infrastruktur yg dilakukan p @jokowi memunculkan atlet atlet berbakat dr Papua. Ingat 2019 pilih Jokowi ya biar Papua pembangunannya lebih dasyat lagi. Karena baru saman Jokowi Papua benar benar diperhatikan. Selamat buat Papua https://twitter.com/Angel_Papua/status/1034336621250801664 …,0
82,Kemarin2 ada yg minta Khilafah berdiri di Indonesia kan? Tuh pintunya dah dibukain ISIS dgn bom bunuh diri di Jakarta.,2
83,Ahhhh kontol sodok memek tika dengan ganas ahhhhhhhhhh uhffffff kontol satu lgi sodok anal tika ohhhhhhhhh saling lomba nyodoknya ahhhh,3
84,Tidak ada kata ampun dan maaf kalo rakyat sudah ngebuat pengadilan terbuka liwat gerakan revolusi ganyang PKI GAYA BARU berikut CINA PKI,1
85,"@RianaNanancha mhhh lepas ya rok mini kamu *buka rok masukin kontol ke memek basah kamu :* mmmhh genjot"" sampe kamu kesakitan mhhhh grrr ah",3
86,Jgn lupa sblm bom bunuh diri bawa viagra inex dan kondom  hanya orang bodo yg mau dibodohin.kafir=non muslim. jihad=bunuh masuk sorga..,1
87,ganyang CINA !!!! RT @chairizmeizz: Mnako kenan cina brengsek RT @dimboy666: Loha daeng brai RT @uhiiuhii: halo mas mas bro sekalian. RT,1
88,"nah..disinilah letak akar masalahnya..jangan terbawa judul ok..
anda mau tau ?
rahmatan lil alamin bisa terwujud dgn khilafah...
1.anda harus tau arti khilafah
2.anda mesti tau sejarah rosullullah Muhammad shallahu allaihi wasshalim
3.anda harus mengaji",0
89,"Lanjut ya.. Kata om x, kapitalisme yg kejam harus digantikan dgn sistem syariah islam,dn pemimpin negara adalah khilafah seperti sabda rasul",0
90,"Kalian teriak ""Ganyang cina!"" ""Usir Ahmadiyah"" ""Musnahkan LGBT""
.
Kalian ngusir orang dari rumahnya cmn karena mereka syiah. Kalian ngelarang orang bangun rumah ibadah
.
Lantas kenapa gue harus peduli saat tokoh lo dikriminalisasi dan ormas lo dibubarin?",2
91,,
92,"Ganyang cina, gantung, bunuh dll, ngusir orang solat, ancem ga solatin mayat, ga terima mayat dll sejauh ini pendukung mana mas?
Yuk coba lagi! ",1
93,31. Pantas saja Amerika yg mayoritas KAFIR Kristen Menjatuhkan Bom Atom ke Jepang yg menghancurkan semua termasuk orang2 yg tidak berdosa!!!,1
94,aku:ku remas tetekmu ya van:remas aja aku:ah kau punya tetek? seriuslah van:iya br operasiRT @vantamelon: Lg la enak x c http://mtw.tl/lto40,3
95,"Kalo bisa secepatnya ya pak? Ayo kita jihad (y)""@Bunuh_QM: Yang masih jadi followernya si @QueenMutiaa bakal gua tandai dan gua anggap MUSU",1
96,@miss_nessaa @Astrid_via ak 69 dulu ya sama astrid beb...lg tiduran ak liat kontol ak lg di sepong sama bibir seksinya astrid...,3
97,"@BasherRL heh kontol, jan sok pemes lu di rp, muka kek memek, org tua lu kek monyet, agama lu aje agama kontol 38",1
98,,
99,"Baju coklat, baju hijau lg tarung? Up to u!
Yg penting Ganyang NeoPKI, antek aseng & CINA GARONG BLBI-Century-RSSW-eKTP cs pengkhianat NKRI! pic.twitter.com/nCKHdiOmH4",1
100,"gerombolan yg mau ganti azas Pancasila dgn khilafah itu yg harus dibasmi ,  para penyebar kebencian hoax fitnah adudomba itu harus dienyahkan dari NKRI ..",0
101,"Allahuakbar, demi Allah demi Rasulullah dan para sahabat dan para tabiin. Harus ditegakkan khilafah yang akan menjamin kehidupan umat islam.",0
102,".. Line : Tiarakhrisma
#openvcs #vcs #videocallsex #videobokep #cs #ps #phonesex #chatsex #sange #bokep #ngewe #bisyar #bispak #bokepindo #memekbasah #toge #ngentot #testivcs #testics #testips #testichatsexpic.twitter.com/ncwCYGatYb",3
103,Masa bodoh saha mau khilafah ..udah bosan kali orang orang bersatu .biar pada bikin negara masing masing..tuh Papua @PapuanV  minta pisah dari NKRI ..Aceh serambi mekah aja juga minta pisah dari NKRI..biarin biar pada blangsak jg para pejabat ikut gembel,1
104,"Menerangkan kpd simpatisan HTI itu harus pelan-pelan. Meskipun butuh waktu lama menyadarkannya.

#bahwa HTI itu adlh perjuangan menegakkn khilafah, syariah hanyalh kamuflase semata dr tujuan sebenarnya. Apa tujuan sbenarnya?

YAITU KEHANCURAN SUATU “NEGARA” YANG DISEBUT THOGHUT pic.twitter.com/qgT74pHWvp",0
105,"Kaum ontanya kafir jg bos dan bodoh RT @Mossad35: Disaat kafir bikin banyak penemuan yg mencerahkan, kaum onta selalu bikin cara nyimpan bom",1
106,semua negara harus menjadi anggota pbb. itu peraturannya. jd mustahil buat khilafah skr ini sblm al-mahdi.RT @ardobinardi:  @HizbuttahrirID:,0
107,Kampanye rasis ngmg nya pihak ahok yg di untungkan.. Goblok kafir mana ada di untungkan.. Kalau pada di perkosa bunuh lu enak berduit,1
108,"Loh memang ga da beda papua itu propinsi ibukotanya Jayapura,dan propinsi papua barat ibukotanya monokwari,lo tau ga,jngn2 bneran goblok lo",1
109,"Kl mau debat2an, khilafah itu lebih parah dr nasionalisme. Cuma berdasarkan klan/tribe. Udah bener itu Sjahrir. Dasarnya harus kemanusiaan.",2
110,Awas Ngiler! Cewek Mulus ini Bugil Ngangkang Sambil Remas Susu Mantap Jiwa!!! http://www.model18plus.com/2018/01/12/awas-ngiler-cewek-mulus-ini-bugil-ngangkang-sambil-remas-susu-mantap-jiwa/ … lewat @Model18plus: Situs Majalah Pria Dewasa 18+ Indonesia,3
111,"BAHAN COLI 
#sexy #bispak #birahi #toket #puting #jilmek #seks #kontol
#bokepsemi #bokepindo #sepong #amoy #bisyar #lonte #jablay #crot #igo #amoysange #panlok #sange #ngewe #memek #tante #ngentot #sex #janda #SANGE_AAAAAAAAAAHpic.twitter.com/ufcyp4kUrq",3
112,"Buat tante kesepian atau cewe pengen puas VCS PHONESEX PRIVASI AMAN WA KHUSUS CEWE 085780246860
#vcs_berbayar #vcskuy #tantesange #tantebinal #ceweksange #MEMEKBASAH #memektembem #memekmerah #vcsgratis #bobekasi #bobandung",3
113,Trus apa yg harus dilakukan wat keluar dri lilitan maksiyat? | krn yg nerapin maksiyat sistem'a jdi sistemnya hrus diganti dgn Khilafah.,2
114,@o_pripot mksd km-yg di pict itu td?Yah ga heran lah!Mknya masy jgn menduk ormas2 radikal itu dunk-nti mw usir siapa lg? Mgkn org kafir hehe,2
115,"""#SidangAhok smg sipenista agama n ateknya matinya tdk wjar n jasadnya tdk dtrma tnh n dia tdk prnh mrs kn sorga,aamiin semoga tuhan setuju""",1
116,"Kalau sekarang di bentuk lagi khilafah, apa Palestine akan merdeka?? Para pejuang khilafah, yg rela mati untuk menghidupkan khilafah sampe harus meledakkan bom bunuh diri di Indonesia, knpa tidak pergi bantu Palestina, ledakkan bom2 itu di wilayah israel",2
117,"pagi ini liat foto memek pacarku @NikeAnantha jadi tmbah sange, kontol sengaja aku denyut²kan....eh, tanpa disentuh tiba2 ngecrot beneran :)",3
118,"goblok kok dipaksain... Kshan dulu guru n ortu yg mengajarimu.  Jelas beli di Papua 25liter yh di Sulawesi beli 2,5 liter ya beda lha hrgnya",1
119,"""Udh jam segini gaada tuh tsunami di papua, boong aje nih."" Lo tuh goblok apa gmn sih? Bagus malah gaada tsunami",1
120,"@BasherRL heh kontol, jan sok pemes lu di rp, muka kek memek, org tua lu kek monyet, agama lu aje agama kontol 38",1
121,"Dah mulai keluar aslix gerombolan Toilet kencing Onta,g sepaham lngsung kofar-Kafir.. Kami umat mayoritas non alumni monas yg 7 jt ikut institusi Resmilah yaitu MUI sendiri.klo situ ikut ulama Radikalisme n Terorisme pantas Bodoh.Klo kejang2 langsung lakukan aksi bom bunuh diri",1
122,"jejelin duren aja ke pantat lo, mau? RT @94ohot: jejelin kontol maunya ""@Goodniteboy Iya, kita jejelin memek aja biar tobat RT @ilvsx:...",3
123,le give my opinion abt this. Nikah tuh ga cuma modal kontol sm memek doang. Nikah tuh ga cm menyatukan sepasang kekasih doang,3
124,"RT @ikadut: RT @herdirinananies: Baca surat si org bom bunuh diri, ada kata kafir, cari lah makna kata kafir sebenarnya dlm Quran ..",0
125,"Taruh bom di tubuhmu, berlarilah ke orang2 kafir itu! Ledakkan mereka! Km akan bertemu tujuh bidadari setelahnya! Km siap? | Maaf saya gay.",1
126,"Memek tika kebuka lebar lendir memek mengalir terus sodokan tambah kencang ahhhhhh lepas kontol dulu , jilat peju yg keluar ahhhhhh",3
127,"@BasherRL heh kontol, jan sok pemes lu di rp, muka kek memek, org tua lu kek monyet, agama lu aje agama kontol 38",1
128,"Wtc=building demolition, bom bali=mikro nuklir, bom panci low>bom k melayu hight, fitna terorisme buatan orang kafir dg menunggangi awam.",2
129,"Kok merembet2 nya, gk jelas RT""@raharjant: Presiden klas topeng monyet RT @maspiyungan: Saat Papua Masih Berduka, Jokowi Cekikikan",1
130,"Soal pmmpin kafir, lw mlihat dari negara lain, kadang mrk  bersikap lbh dari pmimpin muslim, mslny hugo chaves, dia brani usir dubes israel",0
131,"Yang merasa orang cina bagi angpao dong, kalau nda sy ganyang ko terus sy doakan semoga nda turun hujan. Nyak nyak !",2
132,"Wtc=building demolition, bom bali=mikro nuklir, bom panci low>bom k melayu hight, fitna terorisme buatan orang kafir dg menunggangi awam.",0
133,"Gelikk-__-RT @Meiry2383: ( ˘з(˘⌣˘ ) RT @eka2383: @Meiry2383 udh dong marah2nya, malem jumat nih, mending kita bunuh 1000 orang kafir yuk :D",1
134,"ngewe depan guru wk RT @cumanNANYA #cumanNANYA buat yang baru tamat SMP nih, sebelum lo jadi anak SMA, ada ga sih yg pengen lo lakuin di SMP",3
135,Hahaha. Msh pagi. RT @PrimaLACOMM: Ayo bunuh kafir!! Bwahahahaha RT Menunaikan yang wajib has been (cont) http://tl.gd/i9rsr1 ,1
136,"biasa cowo yang sange an. ini kebalikannya cewe yang sange berat. 
pic.twitter.com/LdkuymvqZv
Full Movie : https://bit.ly/2wvWqEX 
#bokep #bokepindo #bokepjepang #bokepsma #bokepjav #bispak #bisyar #memekbasah #janda #tantegirang #ceweknakal #openbo #cewekbookingan #ngentot",3
137,"wkkk @JKFC23456789 hari geneh BELUM SUNAT ?!?!???

uda lama merdeka bong !!
KAFIR BABI VOC uda lama di usir..
lu mash blm sunat jg
wkkk",1
138,"Nah! RT @Agamajinasi: Motto bangsa ini: Bhinneka Tunggal Ika, Berbeda Tapi Satu. Bukannya: Sorban dan Hijab Rules, Kafir Usir Saja.",1
139,"Teriak ganyang cina, anti-cina, jangan mau diinjek-injek cina. Halah kntl. Ada amoy cina ngangkang juga pasti dipake, bukan diganyang. Bangsat.",1
140,"Saya slalu menduga bibit2 teroris awalnya ya dari kelompok yg mahami segala sesuatu secara TEKSTUAL kayak gitu itu. 
darah kafir halal.. 
Langsung bom sana sini..
Pdhl ada konteks tafsir mendalam dibalik itu. 
Ini yg mereka gagal paham atau emg sengaja milih nutup mata.",2
141,"anjing aku harus off...besok lagi..yg mau dm sex ma aku..neh soalnya kakakku udah jilat2in memek aku,ditambah cwo aku yg lg remes2 toked,,",3
142,"Kecian si Toge dibully,konsekwensi lah,yg ga bener yg cm bilang cina kafir usir dr Indonesia, kalau lo punya nyali adukan aja Toge ke Polisi",1
143,"""@Bisniscom haha memaki untuk melawan mah harus, drpd ditindas pemimpin munafik melindungi penista agama, dll. Agama no 1 (islam), taubat rot""",1
144,"@BasherRL heh kontol, jan sok pemes lu di rp, muka kek memek, org tua lu kek monyet, agama lu aje agama kontol 38",1
145,"Wtc=building demolition, bom bali=mikro nuklir, bom panci low>bom k melayu hight, fitna terorisme buatan orang kafir dg menunggangi awam.",1
146,"Jelas panik.... Krn paham anti Nasionalis, paham2 khilafah, anti Pancasila, radikal harus segera di gebuk, salah satunya melalui pendidikan https://twitter.com/republikaonline/status/870523463936561153 …",0
147,"Pengen bgt cipokan,trus tangan gw mulai grayangin tuh cewek,dr toket,ke memek.trus dia jg sambil ngocokkin kontol gw",3
148," BAHAN COLI 
#sexy #bispak #birahi #toket
#puting #jilmek #seks #kontol
#sepong #amoy #bisyar #lonte
#jablay #crot #igo #amoysange
#panlok #sange #ngewe #memek
#tante #ngentot #sex #janda #seks
#SANGE_AAAAAAAAAAHpic.twitter.com/skgzidljP7",3
149,"""@LadiesRina: udah hampir 6 bln ga ngentot memek gw jd sempit banget. mau masukin 2 jari udah ga bisa. perih banget :("":-P",3
150,"PE LA CUR!! RT @aprieltumorang: Bayar che.co pun ga mampu loooh, mas bayar pake remas tetek aja boleh, sumpa ga ada duit loh :(",3
